crop,state,season,year,area,production,yield,area_mha,production_mt,data_quality_flag,crop_category
Ragi,Maharashtra,Kharif,2020-21,81600.0,93921.6,1151.0,0.0816,0.09392160000000001,GOOD,food_grains
Ragi,Nagaland,Kharif,2020-21,350.0,339.85,971.0,0.00035,0.00033985000000000005,GOOD,food_grains
Ragi,Odisha,Kharif,2020-21,41310.0,32882.76,796.0,0.04131,0.032882760000000004,GOOD,food_grains
Ragi,Puducherry,Kharif,2020-21,45.0,108.99,2422.0,4.5e-05,0.00010899,GOOD,food_grains
Ragi,Tamil Nadu,Kharif,2020-21,82920.0,288644.52,3481.0,0.08292,0.28864452,GOOD,food_grains
Ragi,Telangana,Kharif,2020-21,1000.0,1343.0,1343.0,0.001,0.001343,GOOD,food_grains
Ragi,Uttarakhand,Kharif,2020-21,89000.0,129851.0,1459.0,0.089,0.129851,GOOD,food_grains
Ragi,West Bengal,Kharif,2020-21,6029.0,6469.12,1073.0,0.006029,0.00646912,GOOD,food_grains
Small Millets,Andhra Pradesh,Kharif,2020-21,22000.0,19008.0,864.0,0.022,0.019008,GOOD,food_grains
Small Millets,Arunachal Pradesh,Kharif,2020-21,26817.0,27621.51,1030.0,0.026817,0.02762151,GOOD,food_grains
Small Millets,Assam,Kharif,2020-21,4973.0,3262.29,656.0,0.004973,0.00326229,GOOD,food_grains
Small Millets,Bihar,Kharif,2020-21,2174.0,1637.02,753.0,0.002174,0.0016370199999999999,GOOD,food_grains
